 ,'(',')','*','+',"','",'-',':',':=',';','<','<=','<>','=','>','>=','and','call','do','else','goto','if','not','or','then','while','{','}',CNAME,$end,a,b_and,b_comparison,b_expr,b_not,e_list,expression,factor,id,l,label,m,n,negative,open_stmt,relop,s,start,stmt,term
0,,,,,,,,,,,,,,,,,s8,,,s9,s10,,,,s11,s12,,s13,,1,,,,,,,,2,,3,,,,4,,5,6,7,
1,,,,,,,,,r34,,,,,,,,,,r34,,,,,,,,r34,,r34,,,,,,,,,,,,,,,,,,,,
2,,,,,,,s14,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,s8,,,s9,s17,,,,s11,s12,,s13,,1,,,,,,,,2,,3,,,,,,16,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r42,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,,,18,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,,,19,,,,,,,,,,,
10,s29,,,,,s30,,,,,,,,,,,,,,,,s31,,,,,,s13,,,20,21,22,23,,24,25,26,,,,,27,,,,,,28
11,r21,,,,,r21,,,,,,,,,,,,,,,,r21,,,,,,r21,,,,,,,,,,,,,32,,,,,,,,
12,,,,,,,,,,,,,,,,,s8,,,s9,s17,,,,s11,s12,,s13,,1,,,,,,,,2,33,3,,,,,,34,,,
13,r17,r17,r17,r17,r17,,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,r17,r17,,,,r17,r17,,,r17,,r17,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,r20,,,r20,r20,,,,r20,r20,,r20,,,,,,,,,,,,,,,,,,,,,
15,s36,,,,,s30,,,,,,,,,,,,,,,,,,,,,,s13,,,,,,,,35,25,26,,,,,27,,,,,,28
16,,,,,,,,,r38,,,,,,,,,,r38,,,,,,,,r38,,r38,,,,,,,,,,,,,,,,,,,,
